year,WEEK,Total_cases,sales,bert_sentiment_score,date,flu_trend,isPartial
2014,31,107,74.5,-1.0,,0.0,
2014,31,107,45.2,-1.0,,0.0,
2014,31,107,33.4,-1.0,,0.0,
2014,32,88,48.2,-1.0,,0.0,
2014,32,88,36.2,-1.0,,0.0,
2014,32,88,85.4,-1.0,,0.0,
2014,32,88,73.7,-1.0,,0.0,
2014,32,88,123.7,-1.0,,0.0,
2014,32,88,109.3,-1.0,,0.0,
2014,32,88,69.1,-1.0,,0.0,
2014,32,88,70.80000000000001,-1.0,,0.0,
2014,32,88,58.8,-1.0,,0.0,
2014,32,88,74.5,-1.0,,0.0,
2014,32,88,45.2,-1.0,,0.0,
2014,32,88,33.4,-1.0,,0.0,
2014,33,113,48.2,-1.0,,0.0,
2014,33,113,36.2,-1.0,,0.0,
2014,33,113,85.4,-1.0,,0.0,
2014,33,113,73.7,-1.0,,0.0,
2014,33,113,123.7,-1.0,,0.0,
2014,33,113,109.3,-1.0,,0.0,
2014,33,113,69.1,-1.0,,0.0,
2014,33,113,70.80000000000001,-1.0,,0.0,
2014,33,113,58.8,-1.0,,0.0,
2014,33,113,74.5,-1.0,,0.0,
2014,33,113,45.2,-1.0,,0.0,
2014,33,113,33.4,-1.0,,0.0,
2014,34,111,48.2,-1.0,,0.0,
2014,34,111,36.2,-1.0,,0.0,
2014,34,111,85.4,-1.0,,0.0,
2014,34,111,73.7,-1.0,,0.0,
2014,34,111,123.7,-1.0,,0.0,
2014,34,111,109.3,-1.0,,0.0,
2014,34,111,69.1,-1.0,,0.0,
2014,34,111,70.80000000000001,-1.0,,0.0,
2014,34,111,58.8,-1.0,,0.0,
2014,34,111,74.5,-1.0,,0.0,
2014,34,111,45.2,-1.0,,0.0,
2014,34,111,33.4,-1.0,,0.0,
2014,35,137,48.2,-1.0,,0.0,
2014,35,137,36.2,-1.0,,0.0,
2014,35,137,85.4,-1.0,,0.0,
2014,35,137,73.7,-1.0,,0.0,
2014,35,137,123.7,-1.0,,0.0,
2014,35,137,109.3,-1.0,,0.0,
2014,35,137,69.1,-1.0,,0.0,
2014,35,137,70.80000000000001,-1.0,,0.0,
2014,35,137,58.8,-1.0,,0.0,
2014,35,137,74.5,-1.0,,0.0,
2014,35,137,45.2,-1.0,,0.0,
2014,35,137,33.4,-1.0,,0.0,
2014,36,117,48.2,-1.0,,0.0,
2014,36,117,36.2,-1.0,,0.0,
